token,type,score,cummulative percentage,english
kopog,VERB,4,91.55,"1 - (intransitive) to knock (on or at something -n/-on/-en/-ön)##2 - (intransitive, of woodpecker) to tap, knock, hammer##3 - (intransitive, of rain) to patter, rattle (on something -n/-on/-en/-ön)##4 - (transitive) to clack (to make clicking noises while typing on a keyboard, typewriter or telegraph)"
árny,NOUN,4,91.56,"1 - shadow, shade##2 - ghost"
elhallatszik,VERB,4,91.57,**HALLATSZIK**1 - (intransitive) to sound
dörrenés,NOUN,4,91.58,
felzavar,VERB,4,91.59,"**ZAVAR**1 - (transitive) to bother, trouble, molest##2 - (transitive) to disturb (to confuse a quiet, constant state or a calm, continuous flow)##3 - (transitive) to chase, to drive"
üstöke,NOUN,4,91.6,
szélkakas,NOUN,4,91.61,"1 - weather vane, weathercock (a mechanical device - sometimes in the form of a rooster - rotating around one axis and attached to an elevated object such as a roof for showing the direction of the wind)##2 - (figuratively, literary, derogatory) weathercock (one who veers with every change of current opinion; a fickle, inconstant person)"
megzörget,VERB,4,91.62
határozat,NOUN,4,91.62,"1 - decision, resolution"
érvénytelen,ADJ,4,91.63,1 - invalid
alapul,VERB,4,91.64,1 - (intransitive) to be founded/based upon something (-n/-on/-en/-ön)
köszönet,NOUN,4,91.65,"1 - thanks (grateful feelings expressed in words or by some other means)##2 - (chiefly in the negative) benefit, profit, value (used with -ban/-ben)"
rőser-bazár,NOUN,4,91.66,
drágábbat,ADJ,4,91.67,
elfoglalva,ADV,4,91.68,
tisztesség,NOUN,4,91.69,"1 - honour, respect (token of respect)##2 - honesty, integrity"
indítványoz,VERB,4,91.7,"1 - (transitive) to propose, suggest, put forward"
hivatkozik,VERB,4,91.71,1 - (intransitive) to refer (to something: -ra/-re)
elfogadás,NOUN,4,91.72,1 - acceptance
szavazik,VERB,4,91.72
megejtetik,VERB,4,91.73
aláírva,ADV,4,91.74,
fenntart,VERB,4,91.75,"1 - (transitive) to maintain (to keep up)##2 - (transitive, figurative) to support (to provide for someone's needs in life)"
hátravisz,VERB,4,91.76
be-benéz,VERB,4,91.77
cukorféle,NOUN,4,91.78,
jószívű,ADJ,4,91.79,1 - kindhearted
megköszön,VERB,4,91.8,"1 - (transitive) to thank somebody (-nak/-nek) for something (-t/-ot/-at/-et/-öt), to give thanks to somebody for something"
tejecske,NOUN,4,91.81,
hazajön,VERB,4,91.81
lesoványodik,VERB,4,91.82
haj,NOUN,4,91.83,"1 - hair (of the head, excluding facial hair)####1 - (dialectal) alternative form of héj (“peel, skin”)"
halavány,ADJ,4,91.84,1 - archaic form of halvány
orca,NOUN,4,91.85,1 - (archaic) cheek
sugárzás,NOUN,4,91.86,1 - radiation
igen,NOUN,4,91.87,1 - yes
kopogtatás,NOUN,4,91.88,
bejöhetik,VERB,4,91.89
rámosolyg,VERB,4,91.9
csücsk,NOUN,4,91.91,
hederít,VERB,4,91.91
vádol,VERB,4,91.92,1 - (transitive) to accuse somebody (of something -val/-vel)
házmesterné,NOUN,4,91.93,
öregember,NOUN,4,91.94,1 - old man
biccent,VERB,4,91.95,"1 - (intransitive) to nod (to incline the head down and up once, to indicate agreement or greeting)"
kikísér,VERB,4,91.96,"**KÍSÉR**1 - (transitive) to accompany (to go with or attend as a companion or associate; to keep company with; to go along with)##2 - (ambitransitive, music) to accompany (to perform an accompanying part or parts in a composition)"
csapás,NOUN,4,91.97,"1 - stroke, blow, hit##2 - disaster, calamity, misfortune, blow (of fortune)##3 - track, trail (of animals)"
áld,VERB,4,91.98,1 - (transitive) to bless
tégla,NOUN,4,91.99,"1 - brick##2 - (figurative, colloquial) informer, mole, leaker, leak"
betámolyog,VERB,4,92.0,"**TÁMOLYOG**1 - (intransitive) to reel, stagger (to walk slowly, shakily or unsteadily; to move as if drunk, exhausted, or not in control of oneself)"
vidámság,NOUN,4,92.0,
odaül,VERB,4,92.01,"**ÜL**1 - (intransitive) to sit, to be in a sitting position##2 - (transitive, informal) to serve time##3 - (ambitransitive, of a feeling or quality) to appear, to be there##4 - (transitive, with an explicit object, literary) to celebrate, feast##5 - (informal) hit home, strike a chord (to get the desired effect, as of a joke)"
megvertük,VERB,4,92.02,**VERTÜK**1 - first-person plural indicative past definite of ver
megun,VERB,4,92.03,"1 - (transitive) to be bored with, to be fed up with, to be tired of, to lose patience with someone or something"
várás,NOUN,4,92.04,1 - (chiefly in compounds or with a possessive suffix) verbal noun of vár: (the act of) waiting (for someone or something)
igazgató,NOUN,4,92.05,"1 - director (supervisor, manager), principal (of a school)"
elfintorít,VERB,4,92.06
ujjacska,NOUN,4,92.07,
szavadat,NOUN,4,92.08,1 - accusative of szavad
felizgat,VERB,4,92.09,"**IZGAT**1 - (transitive) to excite, upset (to make someone anxious, worried)##2 - (transitive) to excite, upset (to make someone anxious, worried)#to bother (to be the object of care or interest for)##3 - (transitive) to excite, stimulate (physically)##4 - (transitive) to provoke, incite, stir up (a large body of people)"
ingerel,VERB,4,92.1,"1 - (transitive) to incite, provoke (to trigger a stimulus, to bring about a reaction, e.g. laughter, sneezing, with -ra/-re)##2 - (transitive) to irritate, annoy"
szökik,VERB,4,92.1,"1 - (intransitive, dialectal) to hop##2 - (intransitive, literary) to spring##3 - (intransitive) to flee"
ríkat,VERB,4,92.11,1 - (transitive) to make someone cry (weep)
selyemhernyó-tenyészet,NOUN,4,92.12,
eperfalevél,NOUN,4,92.13,
eljös,VERB,4,92.14
erősködik,VERB,4,92.15
rábeszél,VERB,4,92.16,1 - (transitive) to persuade someone (into something -ra/-re)
cáfol,VERB,4,92.17,"1 - (transitive) to refute, disprove, confute, disconfirm, falsify (to prove or demonstrate that something is false)##2 - (transitive, informal) to deny, contradict, disaffirm (to claim that something is false)"
elönt,VERB,4,92.18,**ÖNT**1 - (transitive) to pour##2 - (transitive) to cast (metal)
orrlyuk,NOUN,4,92.19,1 - nostril (either of the two orifices located on the nose)
szónokol,VERB,4,92.19
urának,NOUN,4,92.2,
hivatalnok,NOUN,4,92.21,"1 - official, civil servant, clerk"
szónoklat,NOUN,4,92.22,
istenadta,NOUN,4,92.23,
kihoz,VERB,4,92.24,"**HOZ**1 - (transitive) to bring, to carry (optionally, some object for someone: -nak/-nek)##2 - (transitive) to set someone or something into a state (e.g. motion, excitement)"
kihallatszik,VERB,4,92.25,**HALLATSZIK**1 - (intransitive) to sound
tratá,NOUN,4,92.26,
tratatá,NOUN,4,92.27,
ráad,VERB,4,92.28,"1 - (transitive) to put (clothes) on someone, to help someone into (a coat) (-ra/-re)##2 - (transitive, rare) to add, add on, top up, supplement"
gomb,NOUN,4,92.29,"1 - button (a knob or disc that is passed through a loop or buttonhole, serving as a fastener)##2 - button, push-button (a mechanical device meant to be pressed with a finger in order to open or close an electric circuit or to activate a mechanism)##3 - (graphical user interface) button (on-screen control)"
vasalás,NOUN,4,92.29,
nőttön-nő,VERB,4,92.3
megfoghat,VERB,4,92.31,**FOGHAT**1 - potential form of fog
vatta,NOUN,4,92.32,
levet,VERB,4,92.33,"1 - (transitive, literary or archaic) to throw off, throw down, fling off/down##2 - (transitive, of a horse) to eject (its rider)##3 - (transitive, somewhat literary) to take off, remove, shed (clothes or shoes; of a shelled animal: its shell; of a tree: its bark; etc.)"
hozzálát,VERB,4,92.34
ásszolgá,NOUN,4,92.35,
visszakiált,VERB,4,92.36,**KIÁLT**1 - (transitive) to shout (to give a single shout)
vándorol,VERB,4,92.37,1 - (intransitive) to wander
feszít,VERB,4,92.38,"1 - (transitive) to tighten, to strain (to make tighter)"
hálóingecske,NOUN,4,92.38,
irigykedtetek,VERB,4,92.39
butaság,NOUN,4,92.4,"1 - stupidity, silliness, foolishness, folly##2 - (speech) rubbish, nonsense"
betakargat,VERB,4,92.41
lehuny,VERB,4,92.42,"1 - (transitive) to close (one's eyes)##2 - (intransitive, archaic) to die, to pass away"
félreül,VERB,4,92.43
röpülés,NOUN,4,92.44,
szűrődik,VERB,4,92.45
üvegajtaoj,NOUN,4,92.46,
hoztunk,VERB,4,92.47
tudta,VERB,4,92.48,1 - third-person singular indicative past definite of tud
eltart,VERB,4,92.48,"**TART**1 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to hold, keep (with locative suffixes or lative suffixes)##2 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to support (keep in the same place, withstanding its weight)##3 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep, keep up, preserve, retain (to hold something in the same status or condition, not letting it change or cease)##4 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep (not give up or relinquish)##5 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep back, hold back, hinder, detain, retain (optionally with locative suffixes)##6 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep, observe, follow (rule, obligation, custom, tradition, or ritual)##7 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep (to remain faithful to a given promise, word, bet or wager)##8 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep, maintain, cultivate, foster, harbor, nurse, nurture, cherish (relationship with any acquaintance, familial relations, or bad feelings, grudge towards someone)##9 - (heading) To provide some person or another being with a place to stay or a way of life, supplying them, or to keep, own something temporarily somewhere.#(transitive) to employ, hire, keep, have (someone for regular service)##10 - (heading) To provide some person or another being with a place to stay or a way of life, supplying them, or to keep, own something temporarily somewhere.#(transitive) to keep, raise, farm (a pet or other animal)##11 - (heading) To provide some person or another being with a place to stay or a way of life, supplying them, or to keep, own something temporarily somewhere.#(transitive) to keep, store (to hold something in the same place; with locative suffixes)##12 - (heading) To perform an action that takes some time.#(transitive) to have, hold, give, conduct, perform (a lecture, performance, presentation, meeting, etc.; on something: -ról/-ről)##13 - (heading) To perform an action that takes some time.#(transitive) to take (a break)##14 - (heading) To believe, deem, consider.#(transitive) to find, think, deem, consider, regard something (with -nak/-nek)##15 - (heading) To believe, deem, consider.#(transitive) to esteem, deem, regard, think highly or poorly of (with -ra/-re)##16 - (heading) To go on for a certain time, to extend to a certain limit.#(intransitive, of some program, event etc.) to last, continue, go on, to be in progress (used with -tól/-től … -ig)##17 - (heading) To go on for a certain time, to extend to a certain limit.#(intransitive) to take up space, extend##18 - (heading) To be somewhere in a progress or to go somewhere.#(intransitive) to be at, to have got(ten) to some point (while proceeding, momentarily describing how far a process has gone; used with locative suffixes)##19 - (heading) To be somewhere in a progress or to go somewhere.#(intransitive, slightly literary) to head to some direction, to be bound somewhere (with lative suffixes)##20 - (heading) To be somewhere in a progress or to go somewhere.#(intransitive, slightly literary) to join or accompany someone (with -val/-vel)##21 - (heading) To be somewhere in a progress or to go somewhere.#(intransitive, mathematics) to converge, have limit at (-hoz/-hez/-höz or -ba/-be)##22 - (heading) To be afraid of or sorry about something.#(intransitive) to fear, to be afraid or apprehensive (of someone or something -tól/-től)##23 - (heading) To be afraid of or sorry about something.#(intransitive, construed with attól) to be afraid, to be regretful, to be sorry"
félrebeszél,VERB,4,92.49,1 - (intransitive) to be delirious##2 - (intransitive) to rave
döbbenve,ADV,4,92.5,
fiúcska,NOUN,4,92.51,
tol,VERB,4,92.52,1 - (transitive) to push
nemecs,ADJ,4,92.53,
írás,NOUN,4,92.54,"1 - verbal noun of ír, the act of writing##2 - script##3 - tails, reverse"
ráhajol,VERB,4,92.55,"**HAJOL**1 - (intransitive) to bend, lean (usually of a person, out of his or her own will)"
hátrahúzódik,VERB,4,92.56
leesik,VERB,4,92.57,1 - (intransitive) to fall down
rángatódzik,VERB,4,92.57
ölel,VERB,4,92.58,"1 - (transitive) to hug, embrace##2 - (transitive, figurative) to encircle, enclose, entwine, surround, flank"
angyal,NOUN,4,92.59,1 - angel
tündöklés,NOUN,4,92.6,
üresség,NOUN,4,92.61,1 - emptiness
megörül,VERB,4,92.62,"**ÖRÜL**1 - (intransitive) to be happy or glad, to rejoice (about something: -nak/-nek)"
somfordál,VERB,4,92.63
nekivág,VERB,4,92.64
félrelök,VERB,4,92.65
kerülget,VERB,4,92.66,"1 - (transitive) to move or go around something as in a circle##2 - (transitive) to avoid talking about something, to talk about everything else but the main point, to dodge a topic"
emlékez,VERB,4,92.66
golyóikat,NOUN,4,92.67,
tüszköl,VERB,4,92.68
könnyebbség,NOUN,4,92.69,"1 - ease, relief (freedom from hardship and worry)"
nyugalom,NOUN,4,92.7,"1 - tranquillity, serenity, calmness, peacefulness"
pipálgat,VERB,4,92.71
leomlik,VERB,4,92.72,"**OMLIK**1 - (intransitive) to collapse, crumble, fall (down), fall in, fall to pieces, crush, tumble (as of ground, plaster, a wall, a building, or a person when shocked or devastated)##2 - (intransitive) to fall, hang, flow (as of hair or a stage curtain, as if flowing down)"
oldalfal,NOUN,4,92.73,
öntve,ADV,4,92.74,
kihűl,VERB,4,92.75,"**HŰL**1 - (intransitive) to get cool, to grow cool"
fűrész,NOUN,4,92.76,1 - saw (tool)
idehallatszik,VERB,4,92.76,**HALLATSZIK**1 - (intransitive) to sound
robaj,NOUN,4,92.77,
robog,VERB,4,92.78,1 - (intransitive) to rush
énekhang,NOUN,4,92.79,
énekel,VERB,4,92.8,1 - (transitive) to sing
hajdan,ADV,4,92.81,"1 - (literary) long ago, in times past, erstwhile, at one time"
testét-lelk,NOUN,4,92.82,
elgyötör,VERB,4,92.83,**GYÖTÖR**1 - (transitive) to vex
kibékülés,NOUN,4,92.84,
csoda,NOUN,4,92.85,"1 - miracle, wonder"
megesik,VERB,4,92.85,"**ESIK**1 - (intransitive) to fall##2 - (intransitive, normally supplemented with the name of the precipitation) to rain, to snow##3 - (intransitive) to fall somewhere, to happen to be at some place or time (of an event on some day of the week or month or the stress on a particular syllable)##4 - (intransitive) to go down, to tumble, to drop, drop off, drop away (e.g. price or popularity)##5 - (intransitive) to (happen to) be found, to lie, to be situated somewhere##6 - (intransitive) to fall into or get into a situation (e.g. falling victim to someone or something)##7 - (intransitive) to fall or belong within the scope, force, power, or effect of something, to be subject or liable to some regulation or jurisdiction##8 - (intransitive) to be affected, to feel in some way (with -nak/-nek for the person affected)##9 - (intransitive) to happen, to come about##10 - (intransitive) to attack, assail (with -nak/-nek)"
elballag,VERB,4,92.86,"**BALLAG**1 - (intransitive) to walk slowly##2 - (intransitive) to have one’s farewell (graduation) ceremony (at the end of the last year, saying goodbye to the school by visiting the classrooms and the surrounding area in groups, singing traditional songs)"
nyugta,NOUN,4,92.87,"1 - receipt (written acknowledgement)####1 - rest, peace (a state of tranquility and quiet)##2 - (sun)set"
vigyorog,VERB,4,92.88,"1 - (intransitive, usually derogatory) to grin (to smile soundlessly, usually offensively, parting the lips so as to show the teeth)"
bepillant,VERB,4,92.89,"1 - (intransitive) to glance (into something -ba/-be), to look inside, to glimpse into##2 - (intransitive, by extension) to glimpse into, to obtain an insight into something"
bádogtábla,NOUN,4,92.9,
gyorsvonat,NOUN,4,92.91,1 - (rail transport) express train (a passenger train that travels long distances and does not stop at smaller stations)
cső,NOUN,4,92.92,"1 - tube, pipe, hose"
karó,NOUN,4,92.93,"1 - stake, post, pole##2 - (slang) the failing grade, F"
gyün,VERB,4,92.94
fundamentum,NOUN,4,92.95,
házat,NOUN,4,92.95,1 - accusative singular of ház
aki,ADJ,4,92.96,
előtör,VERB,4,92.97,**TÖR**1 - (transitive) to break##2 - (intransitive) to strive for something (-ra/-re)
bérkaszárny,NOUN,4,92.98,
csöppecske,NOUN,4,92.99,
vigasztalás,NOUN,4,93.0,"1 - comforting, comfort, consolation, solace"
sejtés,NOUN,4,93.01,
szomszéd,ADJ,3,93.02,"1 - next-door (occupying an adjacent place)##2 - next (nearest in place or position, having nothing similar intervening; adjoining)"
szükséges,ADJ,3,93.02,"1 - necessary (needed, required)"
buksi,ADJ,3,93.03,
buta,ADJ,3,93.04,"1 - stupid, silly, foolish, dumb"
mindnyája,PRON,3,93.04,
éhes,ADJ,3,93.05,1 - hungry
napfényes,ADJ,3,93.06,
lármás,ADJ,3,93.06,
ütés,NOUN,3,93.07,"1 - hit, knock##2 - punch, strike##3 - stroke (time when a clock strikes)##4 - (card games) trick"
tilt,VERB,3,93.08,"1 - (transitive) to forbid, prohibit (someone: -nak/-nek)"
veszély,NOUN,3,93.08,1 - danger (exposure to liable harm)
cipel,VERB,3,93.09,"1 - (transitive) to drag, lug, tote (to carry something heavy, with great effort)"
azelőtt,ADV,3,93.1,"1 - before (in time), previously, formerly (in former times) (the amount of time that had passed until that time is expressed with -val/-vel)"
tyű,INTJ,3,93.1,
férfias,ADJ,3,93.11,1 - manly (having the characteristics of a man)
oroszlán,NOUN,3,93.12,1 - lion
ezentúl,ADV,3,93.12,1 - from now on
olyasvalami,PRON,3,93.13,
kezdve,ADV,3,93.14,
kevesebb,NUM,3,93.14,
ritka,ADJ,3,93.15,1 - rare##2 - sparse
férfi,NOUN,3,93.16,1 - man
önképzőkör,NOUN,3,93.16,
hadizsákmány,NOUN,3,93.17,
tíz,NUM,3,93.18,
mink,PRON,3,93.19,
esetleg,ADV,3,93.19,"1 - maybe, perchance, roughly, with a verb happen to"
hallatlan,ADJ,3,93.2,"1 - unheard-of, unprecedented, incredible, astounding, staggering"
hónap,NOUN,3,93.21,1 - month
harcias,ADJ,3,93.21,
egészséges,ADJ,3,93.22,1 - healthy
síkság,NOUN,3,93.23,"1 - plain, flatland (an expanse of land with very little change in elevation)"
nagyszerű,ADJ,3,93.23,"1 - magnificent, great"
potyog,VERB,3,93.24
egyszeribe,ADV,3,93.25,
rászól,VERB,3,93.25,"**SZÓL**1 - (intransitive) to speak, say, talk to someone (-hoz/-hez/-höz)##2 - (transitive) to speak (to say a word, sentence)##3 - (intransitive) to be about, handle (-ról/-ről)##4 - (intransitive) to let know, inform, notify, apprise, call (-nak/-nek)##5 - (intransitive) to say, react (to tell an opinion) (-hoz/-hez/-höz)##6 - (intransitive) to be valid (for the specified number of people, the specified event, duration etc.; used with -ra/-re)##7 - (intransitive) to be in favor of or against someone or something (used with mellette or ellene, or with phrases formed with the related postpositions)##8 - (intransitive, of some text) to read, run (e.g. as follows)##9 - (intransitive, of a musical instrument, telephone, radio, etc.) to sound, ring##10 - (intransitive, of a bird) to call"
éjszaka,ADV,3,93.26,1 - at night
városi,ADJ,3,93.27,"1 - city, town (of or relating to a city or town)##2 - urban, metropolitan##3 - municipal"
holmi,ADJ,3,93.27,
sapkáj,NOUN,3,93.28,
szervusz,INTJ,3,93.29,
hófehér,ADJ,3,93.29,1 - snow-white (as white as snow)
tagadás,NOUN,3,93.3,"1 - negation (negative answer)##2 - (law) contestation, denial##3 - (grammar) negative (a word that indicates negation)"
olyanforma,PRON,3,93.31,
szünet,NOUN,3,93.31,"1 - pause, break (temporary stop, rest or cease in activity)##2 - recess (short time off in between school classes, during court trials and parliamentary meetings)##3 - intermission (break between two parts of a performance, such as at a concert or play)##4 - vacation, break (period during which schools, theaters or other institutions are closed)##5 - (music) rest (pause of a specified length in a piece of music)##6 - pause (button whose functions are pausing and resuming an electrical appliance)"
lenn,ADV,3,93.32,1 - down
közelről,ADV,3,93.33,"1 - up close, from a short distance##2 - closely"
négy,NUM,3,93.33,
borzasztó,ADJ,3,93.34,"1 - horrible, terrible"
bizony,INTJ,3,93.35,
középső,ADJ,3,93.35,1 - middle (being in the middle or in-between)
csomó,NOUN,3,93.36,"1 - lump, knot##2 - cluster, bundle, bunch, wad, mob##3 - (nautical) knot (unit of speed)"
beleír,VERB,3,93.37,1 - (transitive) to write into something (-ba/-be)
jellem,NOUN,3,93.37,"1 - character, personality"
oldalt,ADV,3,93.38,1 - at the side (as opposed to being in the middle)
sohasem,ADV,3,93.39,"1 - never, never ever"
mára,ADV,3,93.4,
öl,NOUN,3,93.4,"1 - lap (of a person)##2 - (archaic, poetic) loins of a woman (euphemism for the pubic region)##3 - fathom (a unit of measure, 1.89648384 m in Hungary)##4 - cord (a unit of measurement for firewood, about 4 m³)"
me,X,3,93.41,
mielőtt,ADV,3,93.42,1 - before
hivatalos,ADJ,3,93.42,"1 - official (authorized by a proper authority)##2 - formal, businesslike##3 - invited (to something: -ra/-re)"
áhítat,NOUN,3,93.43,
tagadó,ADJ,3,93.44,
olyasmi,PRON,3,93.44,
olyankor,ADV,3,93.45,"1 - on such occasions, at such times"
szerez,VERB,3,93.46,"1 - (transitive) to obtain, get, acquire, procure, earn##2 - (transitive) to cause, induce, give, bring about (emotions, to someone: -nak/-nek)##3 - (transitive) to compose, author (music or sometimes literary works)"
vele,VERB,3,93.46
roppant,ADJ,3,93.47,
ugye,ADV,3,93.48,1 - (tag question) right? isn't it so? is it? didn't you? (etc.)
csönget,VERB,3,93.48,1 - alternative form of csenget
meggyőződik,VERB,3,93.49,"1 - (intransitive) to make sure, check (something -ról/-ről)##2 - (in the phrase meg van győződve) to be convinced about (something -ról/-ről)"
alulról,ADV,3,93.5,"1 - from below, from beneath"
kevés,DET,3,93.5,
egyenest,ADV,3,93.51,
rajta,PRON,3,93.52,
mindenütt,ADV,3,93.52,1 - everywhere
talp,NOUN,3,93.53,1 - sole (of the foot)##2 - (typography) serif
reszketve,ADV,3,93.54,
fahíd,NOUN,3,93.54,"1 - wooden bridge, timber bridge (a bridge that uses timber or wood as its principal structural material)"
ejnye,INTJ,3,93.55,
fölfelé,ADV,3,93.56,1 - upwards
jönik,VERB,3,93.56
rémült,ADJ,3,93.57,
fülke,NOUN,3,93.58,"1 - cabin, booth, compartment"
övék,PRON,3,93.59,
esti,ADJ,3,93.59,"1 - of evening, early night"
hasonlít,VERB,3,93.6,"1 - (intransitive, with -ra/-re or -hoz/-hez/-höz) to resemble, look like, take after (to be similar in appearance)##2 - (transitive) to compare (-hoz/-hez/-höz)"
átellenben,ADP,3,93.61,
levő,ADJ,3,93.61,
fürdik,VERB,3,93.62,"1 - (intransitive) to have a bath, bathe (especially in a bathtub)##2 - (intransitive) to dip, bathe (outside, especially for recreation; in something: -ban/-ben)"
elrejt,VERB,3,93.63,"1 - (transitive) to hide, to conceal, to disguise"
szempillantás,NOUN,3,93.63,"1 - (rare) blink (the act of very quickly closing both eyes and opening them again)##2 - instant, moment, second (a very short period of time)"
támaszt,VERB,3,93.64,"1 - (transitive) to lean, to prop against (with -nak/-nek or -hoz/-hez/-höz)##2 - (transitive) to support, to prop up, to shore up##3 - (transitive) to provoke (a conflict, quarrel), generate, cause, create, bring about, raise##4 - (transitive) to impose (a requirement or an expectation), to set (a standard), to lay (claim to something)"
ordítva,ADV,3,93.65,
kisajtaoj,NOUN,3,93.65,
épület,NOUN,3,93.66,1 - building (a closed structure with walls and a roof)
bal,ADJ,3,93.67,"1 - left##2 - (figuratively) bad, unlucky##3 - (rare) left, left-wing (pertaining to the political left)"
józsefvárosi,ADJ,3,93.67,
arrafelé,ADV,3,93.68,"1 - about that way (away from the speaker), in that direction (usually pointing to the direction)##2 - thereabout, thereabouts, near that place, around there"
nesze,INTJ,3,93.69,
síri,ADJ,3,93.69,"1 - (literally) tomblike, gravelike, sepulchral##2 - (figuratively) deathly, deathlike##3 - (figuratively) funereal, lugubrious, gloomy"
tág,ADJ,3,93.7,"1 - ample, wide"
alapszabály,NOUN,3,93.71,"1 - ground rule, statute, rules (the basic rules or standards; whatever someone must know before proceeding)"
nehek,X,3,93.71,
elegáns,ADJ,3,93.72,"1 - elegant (characterised by or exhibiting elegance in dress, style, design)##2 - elegant (characterised by minimalism and intuitiveness while preserving exactness and precision)"
minap,ADV,3,93.73,1 - (rare) alternative form of a minap
mondá,X,3,93.73,
elnöki,ADJ,3,93.74,1 - presidential
mennyi,PRON,3,93.75,
visszatesz,VERB,3,93.75,"**TESZ**1 - (transitive) to do (optionally with -val/-vel for the target person or object)##2 - (transitive) to place, to put (with lative suffixes)##3 - (transitive) to make (to cause to be; with the result in -vá/-vé)##4 - (intransitive) to see to it, to ensure (followed by the adverb róla)##5 - (intransitive, construed with -het) to (be able to) help it, to be the cause of, to be to blame (potential form with -ról/-ről or followed by the adverb róla)"
hm,INTJ,3,93.76,
megment,VERB,3,93.77,1 - (transitive) to save (to help someone to survive)
ezalatt,ADV,3,93.78,"1 - meanwhile, in the meantime, at that time (during all this time while something else is happening)##2 - by that (with ért (“to mean”) and other verbs that take alatt)"
emlékezetes,ADJ,3,93.78,1 - memorable
vasorrú,ADJ,3,93.79,
segítség,NOUN,3,93.8,1 - help (action given to provide assistance)
ön,PRON,3,93.8,
nemecsek,ADJ,3,93.81,
hűlve,ADV,3,93.82,
v.,PUNCT,3,93.82,
ezüstös,ADJ,3,93.83,"1 - silvery, silverish (resembling silver in color, shiny white)##2 - silvery, silvered (sprinkled, covered or coated with silver)##3 - silvery (having the clear, musical tone of silver; soft and clear in sound)"
valaki,PRON,3,93.84,
valószínűleg,ADV,3,93.84,1 - probably (in all likelihood)
bömböl,X,3,93.85,
meglepett,ADJ,3,93.86,1 - surprised
mindenki,PRON,3,93.86,
egyenes,ADJ,3,93.87,"1 - straight##2 - (figuratively, of character, thinking, process) straightforward, honest, open##3 - (mathematics) direct##4 - (boxing) straight"
gubbaszkodik,VERB,3,93.88
dacos,ADJ,3,93.88,
összeszorít,VERB,3,93.89,"**SZORÍT**1 - (transitive) to press, grip, clutch##2 - (transitive) to urge, force, compel (to act)##3 - (intransitive) to pinch (shoe), strangle (tight collar)"
hazulról,NOUN,3,93.9,
est,NOUN,3,93.9,"1 - (archaic) evening, eve##2 - (literary, by extension) recital, show in the evening (compare French soirée (“evening activity, party”, literally “evening”))"
bánatos,ADJ,3,93.91,"1 - sorrowful, sad"
áruló,ADJ,3,93.92,
megérdemel,VERB,3,93.92,1 - (transitive) to deserve (to merit)##2 - (transitive) to serve someone right
egy-kettő,NUM,3,93.93,
bennünket,PRON,3,93.94,
rendkívüli,ADJ,3,93.94,1 - exceptional
horgolt,ADJ,3,93.95,
tervez,VERB,3,93.96,"1 - (transitive) to plan, to intend, to consider doing##2 - (transitive) to design"
kettőtöket,DET,3,93.97,
véletlenül,ADV,3,93.97,"1 - accidentally, by chance, by accident (unexpectedly, without planning to do so)##2 - accidentally (unintentionally, inadvertently)##3 - happen to, (if ……) should (with small likelihood)"
c,NOUN,3,93.98,
d,NOUN,3,93.99,
az,PRON,3,93.99,
vonal,NOUN,3,94.0,"1 - line (a path marked by something, e.g. drawn by pencil)##2 - line, route##3 - (chess) file"
ni,INTJ,3,94.01,
kicsoda,PRON,3,94.01,
rendelve,ADV,3,94.02,
amily,PRON,3,94.03,
türelmetlen,ADJ,3,94.03,"1 - impatient, intolerant"
akármi,PRON,3,94.04,
egyes-egyedül,ADV,3,94.05,
betegség,NOUN,3,94.05,"1 - disease, illness, sickness"
vív,VERB,3,94.06,1 - (intransitive) to fence##2 - (ambitransitive) to fight
ideges,ADJ,3,94.07,"1 - nervous, worried##2 - annoyed, tense"
készülve,ADV,3,94.07,
erődö,NOUN,3,94.08,
szárad,VERB,3,94.09,1 - (intransitive) to dry (to become dry)
öltözött,ADJ,3,94.09,
köpönyeges,ADJ,3,94.1,
elbámul,VERB,3,94.11,**BÁMUL**1 - (transitive) to gaze (to stare intently or earnestly)##2 - (transitive) to admire (to estimate or prize highly)
kíván,VERB,3,94.11,"1 - (transitive) to desire, fancy, want, long for something##2 - (transitive) to wish somebody something (what is wished requires accusative case -t/-ot/-at/-et/-öt; the person requires dative case -nak/-nek)##3 - (transitive) to expect, require, demand, call for (the person expected to do something is expressed with -tól/-től)"
kitöröl,VERB,3,94.12,"**TÖRÖL**1 - (transitive) to wipe, dust (optionally into something like a cloth: -ba/-be)##2 - (transitive) to delete, erase##3 - (transitive) to annul, cancel"
három,ADV,3,94.13,
ifiúr,INTJ,3,94.13,
egymaga,PRON,3,94.14,
éppúgy,ADV,3,94.15,
aláss,ADJ,3,94.16,
titeket,PRON,3,94.16,
ártatlan,ADJ,3,94.17,1 - innocent
